,name,website,type
100,Booker T's Gym Arena,https://www.realityofwrestling.com/booker-t-world-gym-arena/,
101,Bossletics Gym,http://www.bossleticsgym.com/,
102,Boxing Pride Fitness,,
103,Brazos Valley Barbell,https://brazosvalleybarbell.com/,
104,Breach Fitness,http://breachfit.com/,
105,Break A Sweat Fitness Center,https://break-a-sweat-fitness-center.business.site/,
106,Breakthrough Fitness,https://breakthrough-fitness-personal-trainer.business.site/?utm_source=gmb,
107,BTF Personal Training,http://www.bodytemplefitness.info/,
108,BullittTeam,https://www.thebullittexperience.com/,
109,BungeeONE Studios,https://bungeeonestudios.com/,
110,Burba Physical Fitness Center,https://hood.armymwr.com/programs/fitness-center,
111,BURN,http://www.burndallas.com/,
112,Burn Boot Camp,https://burnbootcamp.com/locations/frisco-TX/?utm_source=google,
113,Campus Recreation,https://www.uhcl.edu/student-affairs/health-wellness/campus-recreation/,
114,Cardio Blazed Fitness Studio,http://www.cardioblazed.com/,
115,Cardonas boxing gym,https://www.facebook.com/pages/category/Sports/Cardonas-Boxing-Gym-1926049330978320/,
116,Carter Fitness Center,https://www.actx.edu/carter/,
117,Catalyst Personal Training,https://catalysthouston.com/,
118,Cave Fit Club,https://www.cavefitclub.com/,
119,CDL Fitness,https://www.cdlfitness.com/,
120,Cedar Park Recreation Center,http://www.cedarparktexas.gov/departments/parks-recreation/park-amenities-services-facilities/recreation-center,
121,Central Athlete,http://www.centralathlete.com/,
122,Centro Fitness,http://centrofitnesssa.com/,
123,Centro Fitness Ray Ellison Blvd,http://www.centrofitnesssa.com/,
124,CERA,http://cera-fw.org/,
125,CFX Strength & Conditioning,https://cfxstrengthandcondition.business.site/?utm_source=gmb,
126,Chalk Training,http://chalktraining.com/,
127,Chatos Boxing Gym,https://chatos-boxing-gym.business.site/?utm_source=gmb,
128,Checkpoint CrossFit,http://checkpointcrossfit.com/,
129,Cheer Strike All Stars,http://www.cheerstrike.com/,
130,Children's Health Starcenter,https://www.nhl.com/stars/starcenters,
131,CHRISTUS Trinity Mother Frances Health and Fitness Center,https://www.christushealth.org/locations/health-fitness-center-herrington-ornelas?utm_source=organic,
132,Chupafit,http://www.chupafit.com/,
133,Citizens HealthPlex,http://citizensmedicalcenter.org/,
134,City Wolves MMA,,
135,Cityside Gym,http://www.citysidegym.com/,
136,CKO Kickboxing,http://ckoleaguecity.com/,
137,Clairevista Holistic Health & Fitness,https://www.gymdallas.com/,
138,Clarence Martin Gym,https://www.templeparks.com/facilities___rentals/clarence_martin_gym.php,
139,Class Studios,https://www.class-studios.com/,
140,CLASS UFC GYM,https://www.classufcgym.com/locations/downtownfw/,
141,Classic Iron Gym,https://www.facebook.com/Classic-Iron-Gym-Odessa-TX-212981439395145/,
142,Clockwork CrossFit,http://clockworkcrossfit.com/?fbclid=IwAR2XQ1NLwoEAE3Ma2mypI8OtXit3Y1xdMQ1yuRXPuAhVllcoE_UCH-Ls7Nk,
143,CLUB4 Fitness,https://www.club4fitness.com/location/grand-prairie/,
144,Colaw Fitness,https://colawfitness.com/gyms/arlington-tx/,
145,College Station Fit Body Forever,https://fitbodybootcamp.com/9367-college-station-tx/fit-body-forever/,
146,Colliers Fitness Express,https://www.colliersfx.com/,
147,Commerce Street Gym,http://www.commercestreetgym.com/,
148,Compendi Strength & Conditioning,http://compendi.com/,
149,Compound Athletics,https://compoundathletics.fit/contact-us/,
150,Conquer Fitness and Performance,http://www.conquerfitnessfrisco.com/,
151,Contender CrossFit,http://www.contendercrossfit.com/,
152,Cooper Fitness Center,https://www.cooperaerobics.com/Cooper-Fitness-Center-Dallas.aspx,
153,Coppell Family YMCA,https://www.ymcadallas.org/locations/coppell_family_ymca?utm_source=2060digital,
154,Core Fitness,http://www.corefitnessdallas.com/,
155,Core Progression Elite Personal Training,https://coreprogression.com/location/north-austin/,
156,Corespeed Gym,http://www.corespeedgym.com/,
157,Corpus Christi Gym,http://www.cctexas.com/government/parks-recreation/programs-services/facilities/index,
158,Corrupted Strength,http://corruptedstrengthgym.com/,
159,Covenant Gym,,
160,Covenant LifeStyle Centre,https://www.providence.org/locations/covenant-health/medical-center/lifestyle-centre?ls=location,
161,Cowboys Fit,https://www.cowboysfit.com/,
162,Cratos Fitness,http://www.thecratosfitness.com/,
163,Crew Fitness,http://crew-fitness.com/,
164,CrossFit,http://www.crossfitflowermound.com/,
165,CrossFit 15:10,http://crossfit1510.com/,
166,CrossFit 190,http://www.crossfit190.com/,
167,CrossFit 2024,http://www.crossfit2024.com/,
168,CrossFit 3 Strands,https://www.crossfit3strands.com/,
169,CrossFit Aggieland,http://www.crossfitaggieland.com/,
170,CrossFit Alanis,http://crossfitalanis.com/,
171,Crossfit Amarillo,http://crossfitamarillo.com/,
172,CrossFit Anthology,https://www.crossfitanthology.com/,
173,CrossFit Archon,http://archonstrong.com/,
174,CrossFit Azimuth,http://www.crossfitazimuth.com/,
175,CrossFit Cataclysm,http://www.crossfitcataclysm.com/,
176,CrossFit Cedar Park,http://www.crossfitcp.com/,
177,CrossFit Central,https://www.crossfitcentral.com/,
178,CrossFit Citadel,https://www.crossfitcitadel.com/,
179,CrossFit Deep,http://www.crossfitdeep.com/,
180,Crossfit Enoch,http://crossfitenoch.com/,
181,CrossFit Hutto,http://www.crossfithutto.com/,
182,CrossFit Iron Horse,https://crossfitironhorse.com/,
183,CrossFit ISO,http://www.crossfitiso.com/,
184,CrossFit Kemah,http://www.crossfitkemah.com/,
185,CrossFit Kohen,http://www.crossfitkohen.com/,
186,CrossFit Kovu,https://www.crossfitkovu.com/,
187,CrossFit Lavon,http://www.crossfitlavon.com/,
188,CrossFit Live Oak,http://www.crossfitliveoak.com/,
189,CrossFit Lowe,http://www.crossfitlowe.com/,
190,CrossFit Lubbock,http://www.cflbk.com/,
191,CrossFit Lumberton,http://www.crossfitlumberton.com/,
192,CrossFit Luna,http://www.crossfitluna.com/,
193,CrossFit Magnolia,http://www.crossfitmagnolia.com/,
194,CrossFit McKinney,https://crossfitmckinney.com/,
195,CrossFit Mettle,http://www.crossfitmettle.com/,
196,CrossFit Obey,http://crossfitobey.com/,
197,CrossFit OnePlus Strength & Conditioning,http://www.oneplusfit.com/,
198,CrossFit OverTake,http://www.crossfitovertake.com/,
199,CrossFit Paladin,http://www.crossfitpaladin.com/,
200,CrossFit Point Break,http://www.crossfitpointbreak.com/,
201,CrossFit Power Method,https://www.crossfitpowermethod.com/,
202,CrossFit Quest,http://www.crossfitquest.com/,
203,CrossFit Rev40,https://crossfitrev40.com/,
204,Crossfit Richardson,http://www.crossfitrichardson.com/,
205,CrossFit Round Rock,http://crossfitroundrocktx.com/,
206,CrossFit Salute,http://www.crossfitsalute.com/,
207,Crossfit San Antonio,http://www.crossfitsanantonio.com/,
208,CrossFit SBR,http://www.crossfitsbr.com/,
209,Crossfit Sparrow,https://crossfitsparrow.com/,
210,CrossFit Templum,http://www.crossfittemplum.com/,
211,CrossFit Texas,http://crossfittx.com/,
212,CrossFit Tierra,http://www.crossfittierra.com/,
213,CrossFit TMC,http://www.crossfittmc.com/,
214,CrossFit Town Center,http://crossfittowncenter.com/,
215,CrossFit Tyler,http://www.crossfittyler.com/,
216,CrossFit Work Over Time,http://www.crossfitworkovertime.com/,
217,CrossFit Workshop,http://theworkshopeastend.com/,
218,Crull Fitness,http://www.crullfitness.com/,
219,Crunch Fitness,https://www.crunch.com/locations/amarillo,
220,Crush NTX Fitness,https://crushntxfitness.com/,
221,CTC Gym,https://www.ctcd.edu/locations/central-campus/fitness-sports/,
222,CUMC Sports & Rec Center,https://cumc.com/adult-sports-fitness/,
223,Curves,https://www.curves.com/?utm_source=google,
224,Custom Fitness of Amarillo Personal Training Studio,http://customfitness.biz/,
225,D-Town CrossFit,http://www.dtowncrossfit.com/,
226,D.R. Semmes Family YMCA,https://ymcasatx.org/drsemmes,
227,D1 Training,https://www.d1training.com/allen/?utm_source=GMB,
228,D1 Training Firewheel,https://www.d1training.com/firewheel/?utm_source=GMrB,
229,D1 Training Sugar Land,https://www.d1training.com/sugar-land/?utm_source=GMB,
230,Dallas Strength and Conditioning,http://www.dallasstrengthandconditioning.com/,
231,Dance House Fitness,,
232,Dane's Body Shop,http://www.danesbodyshop.com/,
233,Daved Gillyard Personal Trainer,https://davedgillyardfitness.com/,
234,Deepwater CrossFit,http://deepwatercrossfit.com/,
235,Defiant CrossFit,http://defiantcrossfit.com/,
236,DEFINE,https://riveroaks.definebody.com/,
237,DELTA ATHLETICS,http://www.deltaathletics.net/,
238,Delta Life Fitness,http://deltalifefitness.com/conroe,
239,Deviant Strength,http://deviantstrength.com/,
240,DG Fitness,https://dgfitnesstx.com/,
241,Diesel Fitness,http://dieselfitness214.com/,
242,Divine CrossFit,https://www.divinecrossfitlf.com/,
243,Dog Pound Boxing Gym,,
244,Downtown Athletic Club,http://www.daclub.com/,
245,Downtown Fitness,,
246,Downtown Iron gym,https://instagram.com/downtowniron247?igshid=YmMyMTA2M2Y=,
247,Dream Performance,http://www.fwdreamperformance.com/,
248,Driven Elite,https://www.drivenelite.net/denton,
249,Driven Performance Training,http://www.drivenaustin.com/,
250,Dyess Fitness Center,https://www.dyessfss.com/fitness-center,
251,Dynamic Fitness,https://thedynamicfitness.com/sugar-land/,
252,DynamXtreme Fit,https://www.facebook.com/DynamXtreme-Fit-2116992221897633/,
253,EADO Boxing Club,http://www.eadoboxing.com/,
254,EaDo Fitness,https://www.crossfiteado.com/,
255,Earl Dunn Gym,,
256,East Austin Athletic Club,http://eastaustinathleticclub.com/,
257,East Dallas CrossFit,http://www.eastdallascrossfit.com/,
258,Eat The Frog Fitness,https://www.eatthefrogfitness.com/,
259,Eaton Elite Fitness,https://eaton-elite-fitness.business.site/,
260,Edge Performance,http://www.edgetyler.com/,
261,edinburg sports and wellness center,http://edinburg.recdesk.com/,
262,Einhorn CrossFit,https://einhorncrossfit.com/,
263,El Centro College Wellness Center,https://www.dallascollege.edu/resources/pages/fitness-centers.aspx,
264,Elev8 Gym,http://elev8gym.com/,
265,Elev8 Human Performance,https://elev8-human-performance.business.site/?utm_source=gmb,
266,Elevate Fitness,https://www.elevatefitnessnow.com/,
